,Site,Date,Time,Value
654,0031,2020-01-28,6.0,0.183
655,0031,2020-01-28,7.0,0.192
656,0031,2020-01-28,8.0,0.193
657,0031,2020-01-28,9.0,0.194
658,0031,2020-01-28,10.0,0.0
659,0031,2020-01-28,11.0,0.0
660,0031,2020-01-28,12.0,0.0
661,0031,2020-01-28,13.0,0.222
662,0031,2020-01-28,14.0,0.234
663,0031,2020-01-28,15.0,0.245
664,0031,2020-01-28,16.0,0.234
665,0031,2020-01-28,17.0,0.227
666,0031,2020-01-28,18.0,0.227
667,0031,2020-01-28,19.0,0.209
668,0031,2020-01-28,20.0,0.214
669,0031,2020-01-28,21.0,0.193
670,0031,2020-01-28,22.0,0.197
671,0031,2020-01-28,23.0,0.201
672,0031,2020-01-29,0.0,0.197
673,0031,2020-01-29,1.0,0.191
674,0031,2020-01-29,2.0,0.199
675,0031,2020-01-29,3.0,0.198
676,0031,2020-01-29,4.0,0.199
677,0031,2020-01-29,5.0,0.0
678,0031,2020-01-29,6.0,0.234
679,0031,2020-01-29,7.0,0.256
680,0031,2020-01-29,8.0,0.267
681,0031,2020-01-29,9.0,0.265
682,0031,2020-01-29,10.0,0.219
683,0031,2020-01-29,11.0,0.206
684,0031,2020-01-29,12.0,0.207
685,0031,2020-01-29,13.0,0.216
686,0031,2020-01-29,14.0,0.249
687,0031,2020-01-29,15.0,0.237
688,0031,2020-01-29,16.0,0.254
689,0031,2020-01-29,17.0,0.282
690,0031,2020-01-29,18.0,0.285
691,0031,2020-01-29,19.0,0.261
692,0031,2020-01-29,20.0,0.24
693,0031,2020-01-29,21.0,0.324
694,0031,2020-01-29,22.0,0.339
695,0031,2020-01-29,23.0,0.349
